epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4051,1.16261,41.3189,1.04955,0,0,0,0,0,78.6794,0,0.00048,0.00048,0.00048
2,117.135,1.17368,35.5543,0.99446,0,0,0,0,0,155.874,0,0.000970298,0.000970298,0.000970298
3,170.424,1.12909,30.8556,0.96476,0,0,0,0,0,60.692,0,0.0014507,0.0014507,0.0014507
4,223.377,1.38503,21.6942,1.35439,0,0,0,0,0,44.2893,0,0.00192119,0.00192119,0.00192119
5,279.635,0.96541,26.1113,0.83263,0,0,0,0,0,36.5937,0,0.0019208,0.0019208,0.0019208
6,333.24,1.48483,22.0155,1.21426,0,0,0,0,0,33.4582,0,0.001901,0.001901,0.001901
7,386.587,1.61157,18.2159,1.39345,0,0,0,0,0,31.5396,0,0.0018812,0.0018812,0.0018812
