epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7851,0.98108,47.4091,0.92681,0,0,0,0,0,88.2119,0,0.00048,0.00048,0.00048
2,163.315,1.21316,33.1149,1.06123,0,0,0,0,0,80.8588,0,0.000970298,0.000970298,0.000970298
3,260.504,1.27291,29.5237,1.19117,0,0,0,0,0,61.6273,0,0.0014507,0.0014507,0.0014507
4,337.773,1.1991,25.3168,1.08306,0,0,0,0,0,42.1318,0,0.00192119,0.00192119,0.00192119
5,401.426,1.09928,25.0726,0.9843,0,0,0,0,0,37.8625,0,0.0019208,0.0019208,0.0019208
6,451.491,1.61035,19.3602,1.39615,0,0,0,0,0,32.3126,0,0.001901,0.001901,0.001901
7,502.253,1.61391,17.0602,1.36188,0,0,0,0,0,35.7221,0,0.0018812,0.0018812,0.0018812
8,553.467,1.16824,17.5442,1.05825,0,0,0,0,0,40.2315,0,0.0018614,0.0018614,0.0018614
9,607.308,1.69511,12.9585,1.49541,0,0,0,0,0,160.109,0,0.0018416,0.0018416,0.0018416
10,10221.3,1.24817,13.4024,1.10593,0,0,0,0,0,27.2576,0,0.0018218,0.0018218,0.0018218
11,10300.2,1.64512,11.0782,1.55315,0,0,0,0,0,14.9121,0,0.001802,0.001802,0.001802
12,10377.2,0.96064,13.3873,0.77111,0,0,0,0,0,18.5608,0,0.0017822,0.0017822,0.0017822
13,10470.3,1.51557,10.0952,1.42208,0,0,0,0,0,17.6015,0,0.0017624,0.0017624,0.0017624
14,10547,1.33203,10.0473,1.1722,0,0,0,0,0,17.9832,0,0.0017426,0.0017426,0.0017426
15,10624.7,1.11271,9.34564,0.99248,0,0,0,0,0,17.5013,0,0.0017228,0.0017228,0.0017228
16,10705,1.67036,7.77363,1.48774,0,0,0,0,0,31.84,0,0.001703,0.001703,0.001703
17,10783.4,1.30481,7.47479,1.16436,0,0,0,0,0,13.9746,0,0.0016832,0.0016832,0.0016832
18,10860.9,0.89981,6.91743,0.82415,0,0,0,0,0,11.9625,0,0.0016634,0.0016634,0.0016634
19,10935.6,1.69199,6.25807,1.51078,0,0,0,0,0,9.97476,0,0.0016436,0.0016436,0.0016436
20,11010.6,1.75749,5.78419,1.58319,0,0,0,0,0,10.1942,0,0.0016238,0.0016238,0.0016238
21,11100.8,1.50385,5.40762,1.32626,0,0,0,0,0,7.61362,0,0.001604,0.001604,0.001604
