epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5037,1.51668,83.1742,1.37035,0,0,0,0,0,173.834,0,0.00024,0.00024,0.00024
2,169.807,1.77008,47.7816,1.43148,0,0,0,0,0,171.527,0,0.0004901,0.0004901,0.0004901
3,286.249,1.5099,41.6527,1.16813,0,0,0,0,0,179.154,0,0.000729904,0.000729904,0.000729904
4,367.76,1.59111,36.6815,1.37399,0,0,0,0,0,149.908,0,0.000959412,0.000959412,0.000959412
5,794.341,1.36158,43.2381,1.11208,0,0,0,0,0,114.463,0,0.00117862,0.00117862,0.00117862
6,878.205,1.76247,26.1799,1.6681,0,0,0,0,0,62.433,0,0.00138754,0.00138754,0.00138754
7,960.157,1.55637,36.0733,1.3372,0,0,0,0,0,75.9112,0,0.00158616,0.00158616,0.00158616
8,1048.28,1.83592,22.3783,1.69627,0,0,0,0,0,60.0487,0,0.0017228,0.0017228,0.0017228
9,1132.78,2.51911,15.8885,2.29671,0,0,0,0,0,432.659,0,0.0016832,0.0016832,0.0016832
10,1214.5,2.35601,14.7485,2.04798,0,0,0,0,0,85.0355,0,0.0016436,0.0016436,0.0016436
11,1295.69,2.14689,18.7596,2.00053,0,0,0,0,0,95.7138,0,0.001604,0.001604,0.001604
12,1604,1.90226,21.052,1.48282,0,0,0,0,0,73.4564,0,0.0015644,0.0015644,0.0015644
13,1658.48,1.3191,21.5099,1.20376,0,0,0,0,0,50.0861,0,0.0015248,0.0015248,0.0015248
14,1713.4,1.81559,16.7301,1.7314,0,0,0,0,0,129.362,0,0.0014852,0.0014852,0.0014852
15,1770.98,1.81443,14.5304,1.69302,0,0,0,0,0,40.4517,0,0.0014456,0.0014456,0.0014456
16,1829.08,2.23606,12.7172,2.00908,0,0,0,0,0,41.1075,0,0.001406,0.001406,0.001406
17,1887.79,1.90523,13.7142,1.70909,0,0,0,0,0,36.4153,0,0.0013664,0.0013664,0.0013664
18,1945.67,2.0278,10.4421,1.86639,0,0,0,0,0,34.8638,0,0.0013268,0.0013268,0.0013268
19,2003.17,1.83137,9.83829,1.80983,0,0,0,0,0,32.4171,0,0.0012872,0.0012872,0.0012872
20,2060.96,1.82134,10.7626,1.71679,0,0,0,0,0,26.7021,0,0.0012476,0.0012476,0.0012476
21,2128.23,2.47264,7.53991,2.21656,0,0,0,0,0,32.1344,0,0.001208,0.001208,0.001208
22,2200.03,2.07709,8.08479,2.01699,0,0,0,0,0,25.2029,0,0.0011684,0.0011684,0.0011684
23,2267.99,1.76662,8.58138,1.65835,0,0,0,0,0,22.0527,0,0.0011288,0.0011288,0.0011288
24,2338.89,2.33093,7.04115,2.28827,0,0,0,0,0,18.1962,0,0.0010892,0.0010892,0.0010892
25,2412.07,1.51164,9.67285,1.21117,0,0,0,0,0,20.0288,0,0.0010496,0.0010496,0.0010496
26,2481.35,1.84991,7.86339,1.60351,0,0,0,0,0,18.2647,0,0.00101,0.00101,0.00101
27,2547.41,2.15044,7.63836,1.95043,0,0,0,0,0,16.3804,0,0.0009704,0.0009704,0.0009704
28,2624.75,2.36026,6.00908,2.24369,0,0,0,0,0,14.0405,0,0.0009308,0.0009308,0.0009308
29,2693.6,2.00223,6.0516,1.8724,0,0,0,0,0,13.5982,0,0.0008912,0.0008912,0.0008912
30,2757.73,1.51787,7.22829,1.31465,0,0,0,0,0,13.849,0,0.0008516,0.0008516,0.0008516
31,2832.06,1.27592,7.02134,1.11634,0,0,0,0,0,17.069,0,0.000812,0.000812,0.000812
32,2896.06,1.65748,6.50931,1.72728,0,0,0,0,0,12.129,0,0.0007724,0.0007724,0.0007724
33,2969.01,2.11421,5.73357,2.08337,0,0,0,0,0,10.8275,0,0.0007328,0.0007328,0.0007328
34,3044.6,2.02777,5.65011,1.85426,0,0,0,0,0,10.444,0,0.0006932,0.0006932,0.0006932
35,3116.09,1.53126,5.86984,1.56301,0,0,0,0,0,10.3699,0,0.0006536,0.0006536,0.0006536
36,3182.16,2.45387,5.82986,2.13048,0,0,0,0,0,10.5611,0,0.000614,0.000614,0.000614
37,3255.97,1.89239,5.89312,2.04053,0,0,0,0,0,10.2217,0,0.0005744,0.0005744,0.0005744
38,3321.66,1.8771,5.1776,1.87906,0,0,0,0,0,9.80716,0,0.0005348,0.0005348,0.0005348
39,3394.72,2.14833,5.27666,1.97952,0,0,0,0,0,8.74843,0,0.0004952,0.0004952,0.0004952
40,3485.14,2.06473,5.37407,1.99418,0,0,0,0,0,9.00227,0,0.0004556,0.0004556,0.0004556
41,3556.69,0.91376,5.89559,0.89652,0,0,0,0,0,9.25709,0,0.000416,0.000416,0.000416
42,3631.85,1.35003,5.41714,1.24726,0,0,0,0,0,10.0641,0,0.0003764,0.0003764,0.0003764
